         7002252 function calls (7001380 primitive calls) in 27.324 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   27.324   27.324 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\site-packages\memory_profiler.py:1073(wrapper)
        1    0.056    0.056   27.221   27.221 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\site-packages\memory_profiler.py:659(f)
        1    0.000    0.000   27.166   27.166 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\Profile.py:40(main_profileTime)
        1    0.000    0.000   26.171   26.171 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeCorpus.py:48(verificaPlagio)
        1    0.123    0.123   23.234   23.234 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeCorpus.py:36(lerNGramas)
    15796    0.062    0.000   22.311    0.001 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\TrieTree.py:67(__setitem__)
    15796    9.270    0.001   22.249    0.001 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\TrieTree.py:32(inserir)
  3751762    5.558    0.000    5.558    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\TrieTree.py:24(__eq__)
   158806    1.321    0.000    3.661    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\function_base.py:4476(append)
        1    0.037    0.037    2.903    2.903 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeDocumento.py:62(contencao)
   300948    1.710    0.000    2.804    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\DoublyLinkedList.py:34(__init__)
     1943    0.008    0.000    2.764    0.001 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\TrieTree.py:63(__getitem__)
     1943    1.377    0.001    2.757    0.001 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\TrieTree.py:48(buscar)
   300904    1.143    0.000    2.106    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\TrieTree.py:19(__init__)
   158806    0.632    0.000    1.685    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:1471(ravel)
   317612    0.593    0.000    1.283    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:504(asanyarray)
   352286    1.272    0.000    1.272    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\DoublyLinkedList.py:18(__init__)
   335372    0.773    0.000    1.125    0.000 {built-in method numpy.core.multiarray.array}
       21    0.434    0.021    0.993    0.047 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeDocumento.py:21(__init__)
   300904    0.963    0.000    0.963    0.000 {built-in method numpy.core.multiarray.empty}
        1    0.000    0.000    0.885    0.885 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeCorpus.py:22(__init__)
        1    0.000    0.000    0.885    0.885 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeCorpus.py:26(lerArquivos)
    17739    0.133    0.000    0.526    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeNGrama.py:24(__str__)
    18247    0.096    0.000    0.394    0.000 {method 'join' of 'str' objects}
    51338    0.209    0.000    0.386    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\DoublyLinkedList.py:60(append)
       21    0.111    0.005    0.311    0.015 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeDocumento.py:51(gerarNGramas)
    70956    0.224    0.000    0.297    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\classeNGrama.py:25(<genexpr>)
   158806    0.279    0.000    0.279    0.000 {built-in method numpy.core.multiarray.concatenate}
    93049    0.264    0.000    0.264    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\DoublyLinkedList.py:360(__next__)
